Age,Spending Score (1-100)
19,39
21,81
20,6
23,77
31,40
22,76
35,6
23,94
64,3
30,72
67,14
35,99
58,15
24,77
37,13
22,79
35,35
20,66
52,29
35,98
35,35
25,73
46,5
31,73
54,14
29,82
45,32
35,61
40,31
23,87
60,4
21,73
53,4
18,92
49,14
21,81
42,17
30,73
36,26
20,75
65,35
24,92
48,36
31,61
49,28
24,65
50,55
27,47
29,42
31,42
49,52
33,60
31,54
59,60
50,45
47,41
51,50
69,46
27,51
53,46
70,56
19,55
67,52
54,59
63,51
18,59
43,50
68,48
19,59
32,47
70,55
47,42
60,49
60,56
59,47
26,54
45,53
40,48
23,52
49,42
57,51
38,55
67,41
46,44
21,57
48,46
55,58
22,55
34,60
50,46
68,55
18,41
48,49
40,40
32,42
24,52
47,47
27,50
48,42
20,49
23,41
49,48
67,59
26,55
49,56
21,42
66,50
54,46
68,43
66,48
65,52
19,54
38,42
19,46
18,48
19,50
63,43
49,59
51,43
50,57
27,56
38,40
40,58
39,91
23,29
31,77
43,35
40,95
59,11
38,75
47,9
39,75
25,34
31,71
20,5
29,88
44,7
32,73
19,10
35,72
57,5
32,93
28,40
32,87
25,12
28,97
48,36
32,74
34,22
34,90
43,17
39,88
44,20
38,76
47,16
27,89
37,1
30,78
34,1
30,73
56,35
29,83
19,5
31,93
50,26
36,75
42,20
33,95
36,27
32,63
40,13
28,75
36,10
36,92
52,13
30,86
58,15
27,69
59,14
35,90
37,32
32,86
46,15
29,88
41,39
30,97
54,24
28,68
41,17
36,85
34,23
32,69
33,8
38,91
47,16
35,79
45,28
32,74
32,18
30,83
